"LLAVEVIV","P0_1","P0_2","P0_3","P0_4_1","P0_4_1A","P0_4_2","P0_4_2A","P1_1","P1_2","P1_3","FOLIO","VIV_SEL","ENT","TLOC","REGION","EST_DIS","UPM_DIS","FAC_VIV"
"0683003","01","02","01","2","","1","1","02","1","","06830","03","15","1","5","085","01058",9709
"0683103","03","04","02","1","3","1","1","04","1","","06831","03","11","1","3","060","00870",7327
"0683201","02","04","01","1","1","1","1","06","1","","06832","01","28","1","2","163","01930",1754
"0683301","01","03","01","2","","2","","02","1","","06833","01","19","1","2","107","01302",3301
"0683402","02","03","02","2","","1","1","04","1","","06834","02","03","1","1","016","00173",619
"0683503","02","04","01","1","1","1","1","03","1","","06835","03","09","1","4","050","00709",3450
"0683605","01","02","00","2","","2","","04","1","","06836","05","20","1","6","113","01391",3166
"0683703","01","03","01","2","","1","1","01","1","","06837","03","28","1","2","163","01938",1707
"0683805","01","03","01","1","1","1","1","04","1","","06838","05","02","1","1","010","00104",3024
"0683902","03","04","02","2","","1","2","05","1","","06839","02","05","1","2","030","00328",1671
"0684003","01","02","01","2","","2","","02","1","","06840","03","11","4","3","057","00834",19030
"0684103","02","02","02","2","","1","1","04","1","","06841","03","29","2","5","166","01972",586
"0684214","02","03","01","1","1","2","","04","1","","06842","14","32","4","3","187","02145",1691
"0684302","01","03","02","2","","2","","01","1","","06843","02","01","2","3","002","00006",392
"0684402","01","02","01","2","","1","1","01","1","","06844","02","13","3","5","067","00917",1831
"0684504","02","04","01","1","2","1","1","03","1","","06845","04","08","1","1","046","00548",3089
"0684604","03","04","01","2","","2","","02","1","","06846","04","09","1","4","048","00587",3640
"0684704","02","03","01","2","","1","1","01","1","","06847","04","16","1","3","091","01120",4396
"0684805","03","06","02","1","1","1","1","03","1","","06848","05","28","1","2","162","01868",1768
"0684902","02","06","02","1","1","1","1","02","1","","06849","02","09","1","4","050","00717",3323
"0685003","01","02","01","1","2","1","1","01","1","","06850","03","02","1","1","010","00113",2846
"0685103","02","04","01","2","","1","1","02","1","","06851","03","28","1","2","162","01868",1768
"0685202","02","03","01","1","1","1","1","05","1","","06852","02","28","3","2","159","01844",2105
"0685305","02","03","01","2","","1","1","02","1","","06853","05","13","2","5","067","00918",1831
